TARGET,PERIODS,ACTIVE,MINACTIVE,MAXACTIVE,DISCOUNT,LINEAR,PREMULTIPLY
product.Seral.area.mature.CWHvm_HW_FDC_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_HW_SS_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_CW_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_CW_PLC_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_CW_YC_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_DR_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_FDC_HW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_FDC_HW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_FDC_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_HW_BA_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_HW_CW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_HW_CW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_HW_CW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_HW_FDC_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_HW_SS_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_CW_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_CW_PLC_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_CW_YC_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_DR_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_FDC_HW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_FDC_HW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_FDC_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_HW_BA_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_HW_CW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_HW_CW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_HW_CW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_HW_FDC_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_HW_FDC_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_HW_SS_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_CW_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_CW_PLC_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_CW_YC_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_DR_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_FDC_HW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_FDC_HW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_FDC_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_HW_BA_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_HW_CW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_HW_CW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_HW_CW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_HW_FDC_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_HW_FDC_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_HW_SS_M.CC,31,false,false,false,1.0,false,false
product.SpeciesProp.managed.BA,31,false,false,false,1.0,false,false
product.SpeciesProp.managed.CW,31,false,false,false,1.0,false,false
