TRACK,LABEL,METHOD,CURVE
14,feature.Seral.CWHvm_CW_HW_M.mature,,119
14,feature.Seral.CWHvm_CW_HW_M.overmature,,72
14,feature.Seral.CWHvm_CW_HW_M.regenerating,,21
14,feature.Seral.CWHvm_CW_HW_M.young,,22
14,feature.Seral.immature,,18
14,feature.Seral.mature,,119
14,feature.Seral.overmature,,72
14,feature.Seral.regenerating,,21
14,feature.Seral.young,,22
14,feature.SpeciesProp.unmanaged.CW,,162
14,feature.SpeciesProp.unmanaged.HW,,163
14,feature.Yield.unmanaged.CW,,164
14,feature.Yield.unmanaged.HW,,165
14,feature.Yield.unmanaged.Total,,166
15,feature.Area.managed,,15
15,feature.Area.og1.CWHvm_CW_HW_M,,161
15,feature.Area.og1.total,,161
15,feature.Area.og2.CWHvm_CW_HW_M,,17
15,feature.Area.og2.total,,17
15,feature.Seral.CWHvm_CW_HW_M.immature,,18
15,feature.Seral.CWHvm_CW_HW_M.mature,,119
15,feature.Seral.CWHvm_CW_HW_M.overmature,,72
15,feature.Seral.CWHvm_CW_HW_M.regenerating,,21
15,feature.Seral.CWHvm_CW_HW_M.young,,22
15,feature.Seral.immature,,18
15,feature.Seral.mature,,119
15,feature.Seral.overmature,,72
15,feature.Seral.regenerating,,21
15,feature.Seral.young,,22
15,feature.SpeciesProp.managed.CW,,162
15,feature.SpeciesProp.managed.HW,,163
15,feature.Yield.managed.CW,,167
15,feature.Yield.managed.HW,,168
15,feature.Yield.managed.Total,,169
16,feature.Area.managed,,15
16,feature.Area.og1.CWHvm_CW_HW_M,,161
16,feature.Area.og1.total,,161
16,feature.Area.og2.CWHvm_CW_HW_M,,17
16,feature.Area.og2.total,,17
16,feature.Seral.CWHvm_CW_HW_M.immature,,18
16,feature.Seral.CWHvm_CW_HW_M.mature,,119
16,feature.Seral.CWHvm_CW_HW_M.overmature,,72
16,feature.Seral.CWHvm_CW_HW_M.regenerating,,21
16,feature.Seral.CWHvm_CW_HW_M.young,,22
16,feature.Seral.immature,,18
16,feature.Seral.mature,,119
16,feature.Seral.overmature,,72
