GROUP,ATTRIBUTE,ACCOUNT,SUM
_ALL_,feature.Seral.CWHvm_HW_CW_H.immature,feature.Seral.CWHvm_HW_CW_H.immature,1
_ALL_,feature.Seral.CWHvm_HW_CW_H.mature,feature.Seral.CWHvm_HW_CW_H.mature,1
_ALL_,feature.Seral.CWHvm_HW_CW_H.overmature,feature.Seral.CWHvm_HW_CW_H.overmature,1
_ALL_,feature.Seral.CWHvm_HW_CW_H.regenerating,feature.Seral.CWHvm_HW_CW_H.regenerating,1
_ALL_,feature.Seral.CWHvm_HW_CW_H.young,feature.Seral.CWHvm_HW_CW_H.young,1
_ALL_,feature.Seral.CWHvm_HW_CW_L.immature,feature.Seral.CWHvm_HW_CW_L.immature,1
_ALL_,feature.Seral.CWHvm_HW_CW_L.mature,feature.Seral.CWHvm_HW_CW_L.mature,1
_ALL_,feature.Seral.CWHvm_HW_CW_L.overmature,feature.Seral.CWHvm_HW_CW_L.overmature,1
_ALL_,feature.Seral.CWHvm_HW_CW_L.regenerating,feature.Seral.CWHvm_HW_CW_L.regenerating,1
_ALL_,feature.Seral.CWHvm_HW_CW_L.young,feature.Seral.CWHvm_HW_CW_L.young,1
_ALL_,feature.Seral.CWHvm_HW_CW_M.immature,feature.Seral.CWHvm_HW_CW_M.immature,1
_ALL_,feature.Seral.CWHvm_HW_CW_M.mature,feature.Seral.CWHvm_HW_CW_M.mature,1
_ALL_,feature.Seral.CWHvm_HW_CW_M.overmature,feature.Seral.CWHvm_HW_CW_M.overmature,1
_ALL_,feature.Seral.CWHvm_HW_CW_M.regenerating,feature.Seral.CWHvm_HW_CW_M.regenerating,1
_ALL_,feature.Seral.CWHvm_HW_CW_M.young,feature.Seral.CWHvm_HW_CW_M.young,1
_ALL_,feature.Seral.CWHvm_HW_FDC_H.immature,feature.Seral.CWHvm_HW_FDC_H.immature,1
_ALL_,feature.Seral.CWHvm_HW_FDC_H.mature,feature.Seral.CWHvm_HW_FDC_H.mature,1
_ALL_,feature.Seral.CWHvm_HW_FDC_H.overmature,feature.Seral.CWHvm_HW_FDC_H.overmature,1
